id,name,city,locality,cuisines,avg_cost_for_two,capacity,features,rating
1000,Tandoori Hub 1,Hyderabad,Hitech City,"Continental, Italian, Thai",2000,8,non-veg,4.8
1001,Bowl Kitchen 2,Hyderabad,Hitech City,"North Indian, Seafood, Thai",800,10,rooftop,4.1
1002,Urban Platter 3,Hyderabad,Hitech City,"Continental, Hyderabadi, North Indian",600,6,"casual, rooftop",3.2
1003,Fork Grill 1,Hyderabad,Jubilee Hills,BBQ,800,10,fine dining,4.1
1004,Garden Grill 2,Hyderabad,Jubilee Hills,Continental,800,12,"buffet, non-veg",3.1
1005,Fusion Kitchen 3,Hyderabad,Jubilee Hills,"Mughlai, Thai",1000,12,"casual, veg-friendly",3.4
1006,Bowl Kitchen 1,Hyderabad,Banjara Hills,"Hyderabadi, South Indian",1000,10,"live music, rooftop",4.2
1007,Tandoori Hub 2,Hyderabad,Banjara Hills,"BBQ, Continental, Italian",600,12,rooftop,3.0
1008,Tandoori Corner 3,Hyderabad,Banjara Hills,"Andhra, Bakery",400,2,"family, live music",4.0
1009,Garden Bistro 1,Hyderabad,Kondapur,"Bakery, Cafe, Italian",2000,4,family,3.1
1010,Bowl Bistro 2,Hyderabad,Kondapur,Andhra,1000,12,"outdoor seating, rooftop",3.2
1011,Garden Hub 3,Hyderabad,Kondapur,Thai,1500,6,live music,3.7
1012,Fusion Grill 1,Hyderabad,Gachibowli,Continental,1000,2,"casual, rooftop",3.1
1013,Fusion Alley 2,Hyderabad,Gachibowli,Italian,800,10,rooftop,3.9
1014,Bowl Platter 3,Hyderabad,Gachibowli,"Biryani, Cafe",600,8,"fine dining, live music",4.8
1015,Urban House 1,Bengaluru,Indiranagar,"Andhra, BBQ, South Indian",1500,4,non-veg,3.7
1016,Coastal House 2,Bengaluru,Indiranagar,"Biryani, Seafood, South Indian",600,10,"casual, fine dining",3.4
1017,Bowl Grill 3,Bengaluru,Indiranagar,"Bakery, North Indian, Thai",1000,8,buffet,3.2
1018,Royal Table 1,Bengaluru,Koramangala,Italian,1200,6,"casual, family",4.7
1019,Spice Grill 2,Bengaluru,Koramangala,"BBQ, Chinese, Hyderabadi",1000,4,outdoor seating,4.3
1020,Bowl Point 3,Bengaluru,Koramangala,Chinese,600,12,"family, veg-friendly",4.0
